symbol,smiles,cxsmiles,monomer_type
X1118,CC(=O)O[C@H](c1ccccc1)[C@H](N)C(=O)O,CC(=O)O[C@@H]([C@H](N[*])C(O)=O)c1ccccc1 |$;;;;;;;_R1;;;;;;;;;$|,Backbone
EtCO_dPhe(4-Cl),CCOC(=O)N[C@@H](C=O)Cc1ccc(Cl)cc1,CCOC(=O)N[C@H](Cc1ccc(Cl)cc1)C([*])=O |$;;;;;;;;;;;;;;;;_R2;$|,Backbone
X1156,N[C@@H](CC(=O)O)C(=O)C1CCCCC1,OC(=O)C[C@H](N[*])C(=O)C1CCCCC1 |$;;;;;;_R1;;;;;;;;$|,Backbone
X1221,CCN[C@H](C=O)CCC(=O)O,CCN[C@@H](CCC(O)=O)C([*])=O |$;;;;;;;;;;_R2;$|,Backbone
X1028,CN(C)CCCCC[C@@H](C=O)[N-][N+]#N,CN(C)CCCCC[C@H]([N-][N+]#N)C([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone
X938,N=C(N)CCCC[C@@H](N)C=O,N[C@H](CCCCC(N)=N)C([*])=O |$;;;;;;;;;;_R2;$|,Backbone
X856,NCOCC[C@H](N)C=O,NCOCC[C@H](N)C([*])=O |$;;;;;;;;_R2;$|,Backbone
X729,CC(C)(C)[C@H](N)C=O,CC(C)(C)[C@H](N[*])C=O |$;;;;;;_R1;;$|,Backbone
X924,N=C(N)NCCC[C@H](CC(=O)[C@@H]1CCCN1)C(=O)O,NC(=N)NCCC[C@H](CC(=O)[C@@H]1CCCN1[*])C(O)=O |$;;;;;;;;;;;;;;;;_R1;;;$|,Backbone
X931,N[C@@H](C=O)Cc1ccc(CP(=O)(O)O)cc1,OP(O)(=O)Cc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;;_R1;;_R2;;;$|,Backbone
X1907,C=C(COC[C@@H](N)C=O)C(=O)OC,COC(=O)C(=C)COC[C@@H](N[*])C([*])=O |$;;;;;;;;;;;_R1;;_R2;$|,Backbone
X1909,CC(=O)CCCC[C@H](N)C=O,CC(=O)CCCC[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,Backbone
